url,lastDate,title
,最后回应,
https://www.douban.com/group/topic/111311786/,07-14 23:56,"
                       2018【深圳租房团小组里】正在求租的女生，一起来...
                    "
https://www.douban.com/group/topic/111311903/,07-14 17:02,"
                       2018【深圳租房团小组里】正在求租，爱干净的男生...
                    "
https://www.douban.com/group/topic/108678363/,06-26 14:51,"
                       提醒各位，租房再没有确定下来前，不要交定金，不...
                    "
https://www.douban.com/group/topic/84166579/,06-24 09:01,"
                       发现疑似中介报料！！！帮置顶！！！
                    "
https://www.douban.com/group/topic/96245698/,06-12 16:20,"
                       欢迎关注【深圳租房团V】微信公众号,每个工作日发...
                    "
https://www.douban.com/group/topic/13511781/,05-26 11:53,"
                       租房要仔细看租赁合同      要求本帖置顶
                    "
https://www.douban.com/group/topic/120278691/,07-15 12:46,"
                       【转租】【龙华清湖单间】
                    "
https://www.douban.com/group/topic/120145177/,07-15 12:46,"
                       【地铁1号线竹子林站】距离200米处，越众小区2房2...
                    "
https://www.douban.com/group/topic/118822317/,07-15 12:45,"
                       无中介费，30楼朝南一房一厅独立阳台厨卫、家私家...
                    "
https://www.douban.com/group/topic/120213848/,07-15 12:45,"
                       【龙华区.4号线.红山站.合租】绿景公馆1866.主卧独...
                    "
https://www.douban.com/group/topic/120187608/,07-15 12:44,"
                       南山 西丽 茶光双地铁站一室一厅 2300出租
                    "
https://www.douban.com/group/topic/120265439/,07-15 12:43,"
                       LongHua.HongShan Station.No.4 line.One-bedroom,...
                    "
https://www.douban.com/group/topic/119689470/,07-15 12:42,"
                       转租 罗湖 洪湖地址站 一房家私家电齐全 拎包入住 ...
                    "
https://www.douban.com/group/topic/120302587/,07-15 12:40,"
                       【转租】宝安固戍  超大单间 家具家电齐全 带阳台 ...
                    "
https://www.douban.com/group/topic/120104156/,07-15 12:39,"
                       （找舍友）大冲新城花园次卧
                    "
https://www.douban.com/group/topic/120362533/,07-15 12:39,"
                       4号龙华线 清湖地铁口 富联新村 全新精装 家电齐全...
                    "
https://www.douban.com/group/topic/120342589/,07-15 12:38,"
                       【求租】3号线布吉片区，需近地铁站，女生合租，15...
                    "
https://www.douban.com/group/topic/120336808/,07-15 12:37,"
                       短租两个月宝安西乡
                    "
https://www.douban.com/group/topic/120325839/,07-15 12:35,"
                       大新地铁站转租-赠送半个月房租
                    "
https://www.douban.com/group/topic/120364191/,07-15 12:31,"
                       【个人转租】转租大单间！！1480月租！龙华龙胜地...
                    "
https://www.douban.com/group/topic/120252765/,07-15 12:28,"
                       【福田岗厦】岗厦福源大厦一次卧招租（女），中介...
                    "
https://www.douban.com/group/topic/120197677/,07-15 12:28,"
                       (送半个月房租)西乡碧海湾地铁口槟城西岸双地铁合...
                    "
https://www.douban.com/group/topic/120361205/,07-15 12:27,"
                       福田保税区益田村三室两厅次卧2500招租
                    "
https://www.douban.com/group/topic/119743999/,07-15 12:26,"
                       深航假日民居 3室2厅2卫 出租
                    "
https://www.douban.com/group/topic/120328312/,07-15 12:26,"
                       【合租】泥岗地铁口零距离，中卧招租，限女生
                    "
https://www.douban.com/group/topic/120261237/,07-15 12:21,"
                       1400转租坂田地铁站D出口精装单间可做饭家私齐全
                    "
https://www.douban.com/group/topic/120363664/,07-15 12:20,"
                       转租两个多月龙华地铁站单间，每月1000第一个月送...
                    "
https://www.douban.com/group/topic/120363660/,07-15 12:20,"
                       3号线横岗大康路 两房一厅， 1600

                    "
https://www.douban.com/group/topic/119235086/,07-15 12:20,"
                       招单身女室友,深圳南山大冲新城花园房子 60平两房...
                    "
https://www.douban.com/group/topic/120219806/,07-15 12:19,"
                       【白石龙 惠鑫公寓 两房一厅整租 拎包入住】
                    "
https://www.douban.com/group/topic/120285569/,07-15 12:18,"
                       女生合租 3号线大芬站 怡康家园 押一付一
                    "
https://www.douban.com/group/topic/120337859/,07-15 12:18,"
                       个人房源 民治地铁站 拎包入住 精装修 实拍图！
                    "
https://www.douban.com/group/topic/120360393/,07-15 12:17,"
                       3号线 南联地铁 海航城 （单房出租）1000／月
                    "
https://www.douban.com/group/topic/118783602/,07-15 12:17,"
                       [求租]宝安西乡附近小区房 50平以上 租金3500以下 ...
                    "
https://www.douban.com/group/topic/120325788/,07-15 12:17,"
                       4号线清湖地铁站 保利悦都 精装修 大单间 家电齐全
                    "
